,index,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
234,133436,,,15 Hosley Avenue 15 Hosley Ave Branford CT 06405,,,,,,,,,,,,,
235,133438,,,,VERNON,,,,,,,,,,,,
236,133463,,,,WILIMANTIC,,,,,,,,,,,,
237,133470,,,,VERNON,,,,,,,,,,,,
238,133496,,,"100 Corporate Place,",,,,,,,,,,,,,
239,133509,,,,YALESVILLE,,,,,,,,,,,,
240,133517,,,58 Largo Dr. 0.0,,,,,,,,,,,,,
241,133559,,,,,,,532291.0,,,,,,,,,
242,133574,,,189 Bedford Street 0.0,,,,,,,,,,,,,
243,133599,,,,,,,,,,,,,,,,CT -
244,133605,,,,,,,,,,,,,,,,CT -
245,133609,,,429 Round Hill Road 0.0,,,,,,,,,,,,,
246,133626,,,,,,6820.0,,,,,,,,,,
247,133656,,,,,,,,,,,,,,,,CT -
248,133750,,,St. Brigid Church Rectory 1088 New Britain Avenue,,,,,,,,,,,,,
249,133771,,,,,,,,,,,,,,,,CT -
250,133797,,,25 Veterans Drive 0.0,,,,,,,,,,,,,
251,133875,,,,SOUTH WINDSOR CT,,,,,,,,,,,,
252,133884,,,,,,96492.0,,,,,,,,,,CT -
253,133902,,,,,,6117.0,,,,,,,,,,CT - 01
254,133956,,,,SOOUTHPORT,,,,,,,,,,,,
255,133972,,,,EAST NORWALK,,,,,,,,,,,,CT -
256,133973,,,,NOANK,,,,,,,,,,,,
257,133979,,,637 JOHN FITCH BLVD 637 JOHN FIT BLVD,,,,,,,,,,,,,
258,134013,,,,KENSINGTON,,,,,,,,,,,,
259,134014,,,161 MAIN ST 42 Maynard Road,,,,,,,,,,,,,
260,134051,,,,,,,,,,,,,,,,CT -
261,134075,,,,STORRS,,,,,,,,,,,,
262,134087,,,,VERNON,,,,,,,,,,,,
263,134094,,,,,,,,,,,,,,,PeoplesBank,
264,134096,,,,,,,,,,,,,,,PeoplesBank,
265,134207,,,,VERNON,,,,,,,,,,,,
266,134209,,,,"ANDOVER,",,,,,,,,,,,,
267,134271,,,,"BLOOMFIELD,",,,,,,,,,,,,
268,134281,,,,NOANK,,,,,,,,,,,,
269,134302,,,,,,,722211.0,,,,,,,,,
270,134374,,,Thornton Executive Recruiters,,,,,,,,,,,,,
271,134414,,,1200 High Ridge Road 0.0,,,,,,,,,,,,,
272,134443,,,"5 Greenwich Office Park, 4th Floor, 8th Floor",,,,,,,,,,,,,
273,134483,,,,,,,541711.0,,,,,,,,,
274,134502,,,,,,,,,,,,,,,PeoplesBank,
275,134530,,,,E HAVEN,,,,,,,,,,,,
276,134537,,,99 Leibert Rd 0.0,,,,,,,,,,,,,
277,134588,,,1004 Sherman Ave. 0.0,,,,,,,,,,,,,
278,134617,,,,,,,,,,,,,,,PeoplesBank,
279,134630,,,,,,,,,,,,,,,PeoplesBank,
280,134668,,,,,,,,,,,,,,,PeoplesBank,
281,134699,,,,,,,,,,,,,,,PeoplesBank,
282,134741,,,,VERNON,,,,,,,,,,,,
