,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
123,4237,,"STAMFORD, CT",,,,,,,,,,,,
124,4364,,WINCHESTER,,,,,,,,,,,,
125,4395,,,,,,,,,,,,,,CT -
126,4406,,,,,,,,,,,,,PeoplesBank,
127,4430,,,,,,,,,,,,,,CT -
128,4443,,,,,,,,,,,,,PeoplesBank,
129,4474,,,,,,,,,,,,,PeoplesBank,
130,4486,,,,,,,,,,,,,,CT -
131,4498,,"WEST HAVEN, CT",,,,,,,,,,,,
132,4502,,HARFORD,,,,,,,,,,,,
133,4591,,,,,,,,,,,,,,CT -
134,4601,,BARKHAMSTED,,,,,,,,,,,,
135,4634,,ROWAYTON,,,,,,,,,,,,
136,4721,,EAST HAVEN CT,,,,,,,,,,,,
137,4735,,MARKBOROUGH,,,,,,,,,,,,
138,4741,,WATERBURY,,,,,,,,,,,,
139,4742,,COS COB,,,,,,,,,,,,
140,4764,,BARKHAMSTED,,,,,,,,,,,,
141,4782,,CT,,,,,,,,,,,,
142,4827,,NEW HAVEN,,,,,,,,,,,,
143,4858,,,,,,,,,,,,,PeoplesBank,
144,4868,,SEYMOUR,,,,,,,,,,,,
145,4884,,UNION,,,,,,,,,,,,
146,4890,,VERNON,,,,,,,,,,,,
147,4936,,NEW HAVEN,,,,,,,,,,,,
148,4981,,EAST HAVEN,,,,,,,,,,,,
149,5040,,NEW HAVEN,,,,,,,,,,,,
150,5079,,NEW  BRITAIN,,,,,,,,,,,,
151,5088,,,,,532299.0,,,,,,,,,
152,5101,,,,,,,,,,,,,PeoplesBank,
153,5159,,NEWTWON,,,,,,,,,,,,
154,5206,,WARREN,,,,,,,,,,,,
155,5219,,NORWALK,,,,,,,,,,,,
156,5250,,,,,,,,,,,,,Citizens Bank,
157,5321,,VERNON,,,,,,,,,,,,
158,5351,,MIDDLEBURY,,,,,,,,,,,,
159,5402,,NEW HAVEN,,,,,,,,,,,,
160,5406,,EAST HAVEN,,,,,,,,,,,,
161,5443,,,,,,,,,,,,,,CT -
162,5487,,NEW HAVEN,,,,,,,,,,,,
163,5540,,,,,,,,,,,,,PeoplesBank,
164,5566,,,,,,,,,,,,,,CT -
165,5582,,STAMFORD,,,,,,,,,,,,
166,5678,,UNION,,,,,,,,,,,,
167,5729,,,,,,,,,,,,,PeoplesBank,
168,5814,,MIDDLETOWNQ,,,,,,,,,,,,
169,5822,,ESSEX,,,,,,,,,,,,
170,5887,,COS COB,,,,,,,,,,,,
